Data,Carga
03/03/2020 06:00,60389.41
03/03/2020 07:00,64251.288
03/03/2020 08:00,69267.191
03/03/2020 09:00,71549.704
03/03/2020 10:00,73622.602
03/03/2020 11:00,74169.083
03/03/2020 12:00,72162.13
03/03/2020 13:00,74473.691
03/03/2020 14:00,76670.21
03/03/2020 15:00,76876.204
03/03/2020 16:00,76156.146
03/03/2020 17:00,72241.954
03/03/2020 18:00,72207.497
03/03/2020 19:00,75826.992
03/03/2020 20:00,75172.097
03/03/2020 21:00,75290.421
03/03/2020 22:00,72331.643
03/03/2020 23:00,68033.259
04/03/2020 00:00,63775.985
04/03/2020 01:00,60638.284
04/03/2020 02:00,58699.842
04/03/2020 03:00,56450.157
04/03/2020 04:00,57324.694
04/03/2020 05:00,59625.687
04/03/2020 06:00,61486.11
04/03/2020 07:00,65287.834
04/03/2020 08:00,70146.194
04/03/2020 09:00,72602.465
04/03/2020 10:00,74644.156
04/03/2020 11:00,75014.65
04/03/2020 12:00,72781.191
04/03/2020 13:00,75216.512
04/03/2020 14:00,77331.294
04/03/2020 15:00,77680.676
04/03/2020 16:00,77081.893
04/03/2020 17:00,72997.456
04/03/2020 18:00,72786.443
04/03/2020 19:00,76528.689
04/03/2020 20:00,76038.644
04/03/2020 21:00,76116.488
04/03/2020 22:00,73626.673
04/03/2020 23:00,69160.815
05/03/2020 00:00,64627.702
05/03/2020 01:00,61268.897
05/03/2020 02:00,59354.683
05/03/2020 03:00,58490.3
05/03/2020 04:00,58534.379
05/03/2020 05:00,60070.58
05/03/2020 06:00,61752.45
05/03/2020 07:00,65662.686
05/03/2020 08:00,70856.768
05/03/2020 09:00,73543.902
05/03/2020 10:00,75767.903
05/03/2020 11:00,76047.119
05/03/2020 12:00,73863.413
05/03/2020 13:00,76470.768
05/03/2020 14:00,78528.848
05/03/2020 15:00,78699.437
05/03/2020 16:00,77963.646
05/03/2020 17:00,73823.473
05/03/2020 18:00,73474.594
05/03/2020 19:00,77123.126
05/03/2020 20:00,76306.013
05/03/2020 21:00,76464.645
05/03/2020 22:00,73433.445
05/03/2020 23:00,69415.499
06/03/2020 00:00,65115.949
06/03/2020 01:00,61689.197
06/03/2020 02:00,59698.747
06/03/2020 03:00,58711.942
06/03/2020 04:00,58874.496
06/03/2020 05:00,60270.194
06/03/2020 06:00,61965.43
06/03/2020 07:00,65632.264
06/03/2020 08:00,70185.316
06/03/2020 09:00,72914.432
06/03/2020 10:00,74823.831
06/03/2020 11:00,75213.839
06/03/2020 12:00,72989.878
06/03/2020 13:00,75241.312
06/03/2020 14:00,77256.426
06/03/2020 15:00,77378.823
06/03/2020 16:00,75758.096
06/03/2020 17:00,72160.705
06/03/2020 18:00,72388.784
06/03/2020 19:00,75975.146
06/03/2020 20:00,74671.844
06/03/2020 21:00,74465.919
06/03/2020 22:00,72141.653
06/03/2020 23:00,68547.468
07/03/2020 00:00,64429.291
07/03/2020 01:00,61300.389
07/03/2020 02:00,59181.47
07/03/2020 03:00,57820.598
07/03/2020 04:00,57335.573
07/03/2020 05:00,57173.133
07/03/2020 06:00,55990.366
07/03/2020 07:00,58074.77
07/03/2020 08:00,61288.371
07/03/2020 09:00,63470.092
07/03/2020 10:00,64437.093
07/03/2020 11:00,64495.64
07/03/2020 12:00,63905.736
07/03/2020 13:00,63994.059
07/03/2020 14:00,64435.97
07/03/2020 15:00,64675.551
07/03/2020 16:00,64882.292
07/03/2020 17:00,65735.5
07/03/2020 18:00,70373.239
07/03/2020 19:00,73867.298
07/03/2020 20:00,71766.7
07/03/2020 21:00,69145.972
07/03/2020 22:00,65970.623
07/03/2020 23:00,63111.67
08/03/2020 00:00,59862.166
